date,campaign,spend,leads,conversions,conversion_rate
2026-08-14,Social,17812.36,1353,188,13.9
2026-08-15,Partner,31488.11,1512,88,5.82
2026-08-16,Search,64733.14,993,163,16.41
2026-08-17,Search,60857.56,117,81,69.23
2026-08-18,Email,29750.53,1687,205,12.15
2026-08-19,Search,11954.23,105,295,280.95
2026-08-20,Social,46114.78,1748,46,2.63
2026-08-21,Video,54731.9,120,72,60.0
2026-08-22,Video,60573.04,1074,138,12.85
2026-08-23,Social,73276.71,1510,269,17.81
2026-08-24,Video,82166.23,1646,49,2.98
2026-08-25,Email,72692.16,754,90,11.94
2026-08-26,Search,38568.35,349,95,27.22
2026-08-27,Search,29186.82,722,90,12.47
2026-08-28,Social,73956.0,181,83,45.86
2026-08-29,Social,20199.39,1737,43,2.48
2026-08-30,Social,74620.09,802,47,5.86
2026-08-31,Email,26037.41,677,283,41.8
2026-09-01,Display,60803.33,961,96,9.99
2026-09-02,Partner,29054.02,568,82,14.44
2026-09-03,Search,42529.43,714,66,9.24
2026-09-04,Email,34355.79,1268,142,11.2
2026-09-05,Search,55087.54,690,98,14.2
2026-09-06,Display,79190.19,1488,126,8.47
2026-09-07,Partner,76834.32,837,143,17.08
2026-09-08,Partner,33640.71,707,98,13.86
2026-09-09,Social Media,78591.91,1338,248,18.54
2026-09-10,Display,39589.56,1076,162,15.06
2026-09-11,Social Media,30275.38,1304,250,19.17
2026-09-12,Display,71192.0,814,71,8.72
2026-09-13,Email,25209.86,679,91,13.4
2026-09-14,Display,51418.06,698,58,8.31
2026-09-15,Social Media,34395.77,1097,107,9.75
2026-09-16,Partner,71407.3,1131,191,16.89
2026-09-17,Partner,51900.32,1042,94,9.02
2026-09-18,Display,46313.99,1259,197,15.65
2026-09-19,Email,35262.06,591,80,13.54
2026-09-20,Partner,50578.19,963,184,19.11
2026-09-21,Email,56033.56,809,160,19.78
2026-09-22,Search,29713.9,1204,234,19.44
2026-09-23,Partner,78388.8,1707,194,11.36
2026-09-24,Display,28354.11,1292,236,18.27
2026-09-25,Partner,78109.52,1472,263,17.87
2026-09-26,Social Media,51194.43,661,102,15.43
2026-09-27,Search,52615.58,1558,270,17.33
2026-09-28,Display,33109.62,1419,157,11.06
2026-09-29,Social Media,78469.07,894,87,9.73
2026-09-30,Search,48285.62,1391,162,11.65
